Nu,Mu,Alpha
0.33499999999999996,1.0,-40.0
0.315,0.9,-40.0
0.33499999999999996,1.0,-35.0
0.315,0.9,-35.0
0.33499999999999996,1.0,-30.0
0.315,0.9,-30.0
0.33499999999999996,1.0,-25.0
0.315,0.9,-25.0
0.33499999999999996,1.0,-20.0
0.315,0.9,-20.0
0.33499999999999996,1.0,-15.0
0.315,0.9,-15.0
0.33499999999999996,1.0,-10.0
0.315,1.0,-60.0
0.33499999999999996,1.1,-55.0
0.315,1.0,-55.0
0.33499999999999996,1.1,-50.0
0.315,1.0,-50.0
0.33499999999999996,1.1,-45.0
0.315,1.0,-45.0
0.33499999999999996,1.1,-40.0
0.315,1.0,-40.0
0.33499999999999996,1.1,-35.0
0.315,1.0,-35.0
0.33499999999999996,1.1,-30.0
0.315,1.0,-30.0
0.33499999999999996,1.1,-25.0
0.315,1.0,-25.0
0.33499999999999996,1.1,-20.0
0.315,1.0,-20.0
0.33499999999999996,1.1,-15.0
0.315,1.0,-15.0
0.33499999999999996,1.1,-10.0
0.33499999999999996,0.1,-60.0
0.355,0.2,-55.0
0.33499999999999996,0.1,-55.0
0.355,0.2,-50.0
0.33499999999999996,0.1,-50.0
0.355,0.2,-45.0
0.33499999999999996,0.1,-45.0
0.355,0.2,-40.0
0.33499999999999996,0.1,-40.0
0.355,0.2,-35.0
0.33499999999999996,0.1,-35.0
0.355,0.2,-30.0
0.33499999999999996,0.1,-30.0
0.355,0.2,-25.0
0.33499999999999996,0.1,-25.0
0.355,0.2,-20.0
0.33499999999999996,0.1,-20.0
0.355,0.2,-15.0
0.33499999999999996,0.1,-15.0
0.355,0.2,-10.0
0.33499999999999996,0.2,-60.0
0.355,0.30000000000000004,-55.0
0.33499999999999996,0.2,-55.0
0.355,0.30000000000000004,-50.0
0.33499999999999996,0.2,-50.0
0.355,0.30000000000000004,-45.0
0.33499999999999996,0.2,-45.0
0.355,0.30000000000000004,-40.0
0.33499999999999996,0.2,-40.0
0.355,0.30000000000000004,-35.0
0.33499999999999996,0.2,-35.0
0.355,0.30000000000000004,-30.0
0.33499999999999996,0.2,-30.0
0.355,0.30000000000000004,-25.0
0.33499999999999996,0.2,-25.0
0.355,0.30000000000000004,-20.0
0.33499999999999996,0.2,-20.0
0.355,0.30000000000000004,-15.0
0.33499999999999996,0.2,-15.0
0.355,0.30000000000000004,-10.0
0.33499999999999996,0.30000000000000004,-60.0
0.355,0.4,-55.0
0.33499999999999996,0.30000000000000004,-55.0
0.355,0.4,-50.0
0.33499999999999996,0.30000000000000004,-50.0
0.355,0.4,-45.0
0.33499999999999996,0.30000000000000004,-45.0
0.355,0.4,-40.0
0.33499999999999996,0.30000000000000004,-40.0
0.355,0.4,-35.0
0.33499999999999996,0.30000000000000004,-35.0
0.355,0.4,-30.0
